patch trace ID	Trace Lifetime (timepoints)	Trace Average Velocity	Trace Average Velocity Leading	Trace Average Velocity Trailing	Trace Average Angle of Movement	Trace Average Patch Area Growth	Trace Average Patch Length Growth	Trace Average Patch Delta Intensity_ch1	Trace Average Patch Delta Integrated Intensity_ch1	Trace Cumulated integrated intensity_ch1	Trace Average Patch Delta Intensity_ch2	Trace Average Patch Delta Integrated Intensity_ch2	Trace Cumulated integrated intensity_ch2	Trace Average Patch Delta Intensity_ch3	Trace Average Patch Delta Integrated Intensity_ch3	Trace Cumulated integrated intensity_ch3	Trace Average Patch Delta Intensity_ch4	Trace Average Patch Delta Integrated Intensity_ch4	Trace Cumulated integrated intensity_ch4	Trace Average Patch Delta Intensity_ch5	Trace Average Patch Delta Integrated Intensity_ch5	Trace Cumulated integrated intensity_ch5	Patch Path Length	Patch Displacement	Patch Trace Directional Persistence
289	13	0.000884	0.001173	0.001694	-30.545023	-0.007040	-0.006756	2.883333	-24.916667	68158.000000	2.394444	5.916667	8567.000000			0.000000			0.000000			0.000000	3.184167	2.328476	0.731267
290	2	0.000323	0.000969	0.000685	134.999907	-0.253442	-0.199466	14.444445	-1164.000000	2458.000000	39.222222	-99.000000	551.000000			0.000000			0.000000			0.000000	0.096879	0.096879	1.000000
291	2	0.000484	0.000969	0.000000	-44.999998	0.126721	0.075429	42.833333	847.000000	2027.000000	93.333333	569.000000	587.000000			0.000000			0.000000			0.000000	0.145328	0.145328	1.000000
292	9	0.000802	0.001104	0.000770	144.105649	-0.063360	-0.031181	1.541667	-307.000000	30043.000000	-0.541667	-51.500000	3317.000000			0.000000			0.000000			0.000000	1.925780	1.754407	0.911011
293	6	0.000828	0.001581	0.001373	101.934640	-0.016896	-0.008379	-5.516667	-120.000000	20666.000000	0.733333	-20.600000	3605.000000			0.000000			0.000000			0.000000	1.242007	0.543021	0.437213
294	2	0.002255	0.001938	0.003493	161.821766	0.211202	-0.321826	-25.233333	412.000000	12102.000000	-4.013333	51.000000	1765.000000			0.000000			0.000000			0.000000	0.676360	0.676360	1.000000
295	2	0.001636	0.003875	0.004167	64.855238	2.787863	1.032411	-76.985294	16842.000000	18180.000000	-19.632353	2460.000000	2690.000000			0.000000			0.000000			0.000000	0.490808	0.490808	1.000000
296	1									2207.000000			372.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
297	2	0.002458	0.002470	0.003425	152.192904	0.887047	0.447461	-89.717391	3659.000000	4749.000000	20.760870	635.000000	665.000000			0.000000			0.000000			0.000000	0.737480	0.737480	1.000000
298	1									1693.000000			97.000000			0.000000			0.000000			0.000000	0.000000	0.000000	
